,percent_NH_WHITE,percent_NH_BLACK,percent_NH_AMIN,percent_NH_ASIAN,percent_NH_NHPI,percent_NH_OTHER,percent_NH_2MORE,percent_HISP,percent_H_WHITE,percent_H_BLACK,percent_H_AMIN,percent_H_ASIAN,percent_H_NHPI,percent_H_OTHER,percent_H_2MORE,percent_LESS_10K,percent_10K_15K,percent_15K_20K,percent_20K_25K,percent_25K_30K,percent_30K_35K,percent_35K_40K,percent_40K_45K,percent_45K_50K,percent_50K_60K,percent_60K_75K,percent_75K_100K,percent_100K_125K,percent_125K_150K,percent_150K_200K,percent_200K_MORE,vote_GARCIA_2015
1547,0.015479876,0.957688338,0.00619195,0.003095975,0,0,0.011351909,0.00619195,0,0.003095975,0,0,0,0,0.003095975,0.090469214,0.009180871,0.012657142,0.036539345,0.028900902,0.018196792,9.57E-11,0.008543903,0.011590593,0.019009582,0.013449293,0.047233081,0.02382763,0.012903823,0.009686013,0.005327307,0.459701493
1548,0.553981115,0.174763829,0.006747638,0.042510123,0,0.002699055,0.027665317,0.191632923,0.085695005,0.006072874,0.004723347,0,0,0.075573547,0.019568151,0.061407658,0.005979737,0.016344615,0.031094634,0.017173741,0.04200693,0.005182439,0.011959474,1.41E-09,0.031094634,0.028851515,0.04366504,0.023812374,0.037669606,0.025183882,0.047119946,0.196969697
1549,0.775925926,0.046296296,0,0.060185185,0,0,0.026851852,0.090740741,0.040740741,0.000925926,0.001851852,0.000925926,0,0.037962963,0.008333333,0.012817677,0.008197307,0.029372808,0.003448296,0.017825232,0.024936628,0.014562825,0.015141774,0.035691321,0.055426389,0.081701214,0.077843746,0.058792609,0.037505551,0.056958031,0.062694476,0.231132075
1550,0.765700482,0.030595813,0.002415459,0.135265701,0,0,0.009661836,0.056360709,0.045088568,0.000805153,0,0.000805153,0,0.007246377,0.002415459,0.022804542,0.007118674,0.001345533,0.001688452,6.35E-11,0.004709364,0.00139049,0.010697355,0.004148725,0.012417426,0.013129144,0.02886624,0.022781798,0.0245024,0.057019966,0.100542521,0.529880478
1551,0.559040556,0.029520292,0.000922509,0.030442805,0,0.006457564,0.023985245,0.349631029,0.209409597,0.004612546,0.001845026,0.000922509,0,0.112546149,0.020295202,0.021869342,0.008141299,5.59E-10,0.011380692,0.010664049,0.004982264,0.014841967,1.35E-09,0.017391628,0.025220899,0.041386439,0.052474679,0.062768358,0.025939992,0.062032138,0.045452194,0.178832117
1552,0.031423292,0.089648804,0.000924214,0.013863217,0,0.000924214,0.003696858,0.8595194,0.390018471,0.012939001,0.003696858,0.002772643,0,0.42606285,0.024029577,0.024181036,0.008150912,0.00733582,0.00652073,0.008966003,0.012226368,0.005162247,0.013584853,0.001901881,4.33E-10,1.12E-09,0.016301822,0.002716971,0.014399941,8.93E-11,2.55E-11,0.297546012
1553,0.58819876,0.046583852,0.001242236,0.101242235,0,0.001242236,0.019875777,0.241614904,0.097515525,0.001863354,0,0.001242236,0,0.129192547,0.011801242,0.016355253,0.005443253,0.020243469,0.011799193,0.0059101,0.020538204,0.007225786,0.002562486,0.020280242,0.028770582,0.02717744,0.030141586,0.055656948,0.019758184,0.024109784,0.033143805,0.179347826
1554,0.054734538,0.010946908,0,0.007662835,0,1.27E-13,0.001642036,0.925013682,0.385878489,0.003284072,0.007662835,0.003284072,0,0.476190476,0.048713738,0.005034337,0.004795464,0.016436572,0.024928305,0.023660289,0.013698495,0.013542682,0.001678413,0.008048113,0.030814856,0.019861646,0.028044456,0.00854247,0.002637505,4.11E-11,0.00071932,0.219512195
1555,0.607988171,0.003698224,0.00443787,0.025887576,0,0.002218935,0.013313611,0.342455614,0.227810644,0.002218934,0,0,0,0.108727811,0.003698225,0.004528412,0.006469159,1.05E-09,1.08E-09,0.035580376,4.47E-10,0.013585235,0.006469161,0.030405048,0.038814957,0.063397761,0.039461875,0.023935891,0.00840991,0.016819815,0.020701311,0.330645161
1556,0.009794319,0.947110676,0,0.000979432,0,0.002938296,0.028403526,0.010773751,0,0.007835455,0,0,0,0.001958864,0.000979432,0.031809068,0.008563981,0.005199563,0.030904025,2.10E-09,0.015299781,0.020186522,0.018049426,0.002446852,0.016214844,0.033342801,0.036096066,0.019268952,0.011928399,5.77E-10,0.01101083,0.225806452
